Taxa,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness,Average.fruit.weight,Productivity.per.plant,Fruit.number.per.plant,Brix..,BNTC,FRAP..umol.Fe2..g.FW,TP..mg.GAE.100g.FW
CPSBB_TOM142,167.473,1850.615,49.953,50.998,42.192,46.397,47.065,0.911,0.848,0.952,0.696,0.558,1.324,0.052,0.066,0.515,0.076,247.933,220.867,0.166,159.067,147,0.000766667,0.013433333,0.037733333,0.161,0.126,0.046666667,0.19,0.426,0.728,0.886,0.886,0.848,0.426,132.04,75.694,58.326,89.577,41.104,24.045,24.063,45.058,34.052,1.469,0.673,0.177,65.2,627,10,5.5,29.2,3.9,60.72
CPSBB_TOM143,92.866,587.015,23.178,23.326,30.903,31.179,32.279,1.339,1.335,1.4,0.659,0.657,1.004,0.033,0.104,0.515,0.013,175.85,143.55,0.012,158.975,140.075,0,0,0.139625,0,0.03,0.04255,0,0.538,0.792,0.889,0.888,1.337,0.391,130.334,65.382,52.19,85.852,38.165,29.17,24.022,39.472,37.795,1.119,0.556,0.251,8,1036,135,12,65.8,12.72,180.69
CPSBB_TOM144,85.828,521.569,25.4,25.527,24.617,25.294,26.415,0.993,0.972,1.03,0.725,0.592,1.233,0.024,0.029,0.523,0.015,193.725,175.675,0.025,166.775,144.4,0,0,0,0.152,0.026,0,0.052,0.453,0.776,0.89,0.884,0.969,0.403,114.841,59.133,46.21,75.736,33.92,25.517,21.58,40.24,33.425,1.767,0.569,0.244,9.3,939,105,11.1,65.8,13.25,246.28
CPSBB_TOM145,164.41,1723.106,38.354,39.476,55.584,58.251,58.465,1.473,1.448,1.523,0.804,0.31,2.697,0.045,0.116,0.47,0.018,248.35,172.275,0.052,82.525,92.2,0.002875,0.2328,0,0.269,0.121,0,0.398,0.41,0.763,0.89,0.882,1.449,0.38,132.001,73.861,43.091,82.395,40.386,23.878,33.47,54.483,41.12,2.188,0.587,0.231,50.4,883,18,7.8,31.5,5.43,61.77
CPSBB_TOM146,221.36,3102.569,68.114,68.622,47.773,56.198,57.045,0.84,0.735,0.857,0.741,0.643,1.157,0.046,0.084,0.542,0.086,252.575,221.925,0.181,182.075,169.55,0.027725,0.0022,0,0.16,0.132,0,0.182,0.443,0.685,0.89,0.887,0.734,0.466,144.989,72.978,57.46,95.238,42.63,31.364,27.52,41.31,41.743,1.265,0.65,0.194,158.6,1209,8,7.1,34.9,5.1,59.61
CPSBB_TOM147,242.134,3309.723,78.176,79.276,40.245,53.114,57.812,0.682,0.535,0.744,0.79,0.584,1.363,0.074,0.17,0.546,0.126,277.733,261,0.202,169.7,116.167,0.004233333,0.004233333,0,0.198,0.158,0,0.292,0.42,0.604,0.89,0.887,0.533,0.518,146.69,69.256,54.943,94.851,42.011,34.049,28.399,39.764,44.347,1.506,0.772,0.121,163,1724,11,7.3,42.9,4.77,58.78
CPSBB_TOM148,224.433,3406.71,65.469,65.998,60.219,64.834,65.219,0.988,0.926,1.006,0.72,0.6,1.218,0.035,0.05,0.525,0.048,235.15,203.25,0.082,157.5,145.075,0,0,0.02825,0.123,0.115,0.018175,0.17,0.458,0.742,0.893,0.887,0.925,0.422,152.538,88.048,53.558,96.985,47.306,25.256,36.72,55.463,44.573,0.94,0.714,0.154,156.3,1450,9,7,29.2,4.26,49.15
CPSBB_TOM149,183.043,2218.392,43.942,44.492,65.426,67.035,67.647,1.501,1.485,1.541,0.583,0.43,1.363,0.036,0.124,0.428,0.003,166.6,118.45,0.006,106.05,109.7,0.00025,0.0308,0,0.149,0.104,0,0.216,0.469,0.781,0.89,0.886,1.485,0.343,137.114,118.675,72.071,98.44,54.013,-0.164,33.498,90.27,33.503,0.882,0.581,0.237,81.9,2141,26,6.9,36,4.09,46.94
CPSBB_TOM150,97.602,672.578,27.22,27.284,30.099,30.671,31.662,1.123,1.105,1.158,0.682,0.608,1.125,0.023,0.043,0.526,0.016,234.4,165.05,0.025,162.9,142.55,0,0,0,0.124,0.024,0,0.047,0.484,0.784,0.89,0.886,1.105,0.392,116.744,65.39,50.211,78.498,35.917,22.692,21.682,43.864,31.458,0.777,0.607,0.219,13,1744,160,8.5,42,6.79,82.16
CPSBB_TOM151,106.033,798.565,31.729,31.877,29.782,30.459,31.563,0.957,0.94,0.993,0.711,0.639,1.113,0.019,0.023,0.54,0.014,196.6,175.333,0.026,170.975,154.775,0,0,0,0.115,0.018,0,0.039,0.492,0.782,0.889,0.888,0.941,0.406,124.263,111.484,65.159,89.17,50.357,-2.689,32.42,94.728,32.54,0.805,0.574,0.24,22.6,980,43,6.3,42,4.97,59.46
CPSBB_TOM152,99.787,653.341,22.077,22.331,35.412,35.645,36.865,1.597,1.605,1.675,0.699,0.677,1.032,0.045,0.154,0.518,0.008,173.3,131,0.015,150.075,122.95,0,0,0.0857,0.043,0.05,0.0498,0.033,0.539,0.793,0.889,0.887,1.606,0.404,122.959,60.829,49.827,81.202,35.711,28.489,21.882,37.541,35.938,0.933,0.561,0.249,7,1988,268,11.2,57.1,8.27,96.29
CPSBB_TOM153,39.272,102.4442,11.9803,12.1497,10.0118,10.4987,11.8959,0.8647,0.8347,1.0078,0.5906,0.6538,0.9576,0.023,0.0514,0.528,0.016,185.9055,135.0864,0.024,180.7797,120.2467,0.0074,0.0136,0.047,0.1314,198.7989,144.7252,0.0149,0.4488,0.785,0.9061,0.8795,0.871,0.4085,97.3485,99.1882,62.1276,76.8608,43.6639,0,24.0802,109.0174,25.5355,1.3939,0.5524,0.2499,1.53,123,70,10.5,NA,NA,NA
CPSBB_TOM155,53.0671,186.2075,15.8115,15.9808,13.97,14.5203,16.6112,0.912,0.8866,1.0594,0.6919,0.6156,1.1245,0.0196,0.0344,0.5263,0.0241,165.6562,131.9823,0.0418,84.2145,152.9347,0.0017,0.003,0,0.1347,0.013,0,0.0189,0.4666,0.7567,0.8822,0.8778,0.9026,0.434,85.301,90.1335,57.3688,70.1714,39.3818,0,21.0109,113.2723,22.9057,2.0833,0.6112,0.2166,2.08,56,27,11.5,NA,NA,NA
CPSBB_TOM156,53.567,202.4315,16.3407,16.51,15.3247,15.4093,17.5405,0.933,0.9373,1.0768,0.6761,0.6065,1.1171,0.015,0.0252,0.5205,0.0047,85.7483,161.6115,0.0033,124.0943,148.491,9e-04,0.003,0,0.1387,0.0086,0,0.0146,0.4502,0.7954,0.8916,0.8873,0.9375,0.3838,85.5889,91.6946,59.8917,71.8957,39.9503,0,20.0853,115.4525,22.278,1.9372,0.5956,0.2237,2.21,95,44,10.9,NA,NA,NA
CPSBB_TOM158,57.3618,214.6232,18.034,18.2457,13.8218,14.5838,16.9588,0.7986,0.7672,0.968,0.7342,0.5933,1.2427,0.03,0.0791,0.5307,0.032,240.4597,92.7162,0.0687,11.5479,156.3753,0.0025,0.0105,0,0.1422,0.0201,0,0.0347,0.4696,0.7513,0.8943,0.8763,0.7623,0.4248,95.5654,96.0016,63.603,76.9063,42.4227,0,21.3769,108.2978,22.5181,1.7172,0.6068,0.2186,3.66,59,16,NA,NA,NA,NA
CPSBB_TOM159,48.4291,166.0445,15.367,15.4093,12.6788,13.081,14.889,0.8498,0.8259,0.9853,0.7283,0.6337,1.1493,0.0251,0.0576,0.5378,0.017,241.2646,48.6444,0.0224,129.4091,161.708,0.0012,0.0045,0,0.1386,0.0157,0,0.0197,0.4631,0.7687,0.8921,0.8788,0.8228,0.4236,90.3117,98.3964,59.0924,74.4286,42.6494,0,24.5893,115.6624,27.2744,2.8061,0.5798,0.2357,2.2,118,54,8.9,NA,NA,NA
CPSBB_TOM160,53.461825,194.272025,17.1873,17.314325,13.7795,14.20285,16.16615,0.822475,0.803825,0.948425,0.70305,0.561725,1.278325,0.0294,0.075525,0.50055,0.008225,54.75,135.225,0.019725,179.925,162.075,0.053025,0.030025,0,0.143725,0.043525,0,0.04055,0.46695,0.965575,1.001525,0.992425,0.80325,0.061575,102.04485,105.113725,71.9534,84.118025,46.081925,0,21.3259,111.832725,22.9796,2.1777,0.621,0.2024,2.53,66,25,8.6,NA,NA,NA
CPSBB_TOM161,59.2881,220.1877,19.5368,19.6215,14.7955,15.1553,17.57,0.7733,0.7583,0.914,0.7508,0.6498,1.1564,0.0325,0.0857,0.5561,0.0125,152.2137,91.8164,0.0309,174.4441,164.7903,1e-04,0.0098,0,0.1463,0.014,0,0.0263,0.4649,0.7785,0.8908,0.8837,0.7562,0.3407,108.3606,113.1444,78.8729,90.7745,49.6378,0,21.7206,113.7747,23.7316,2.3293,0.5509,0.253,2.65,270,102,10.1,NA,NA,NA
CPSBB_TOM162,48.7345,165.005,15.7057,15.8327,12.8482,13.081,15.4103,0.8329,0.8251,1.0462,0.6855,0.5894,1.1836,0.0261,0.0662,0.5112,0.0146,181.0921,125.344,0.0093,169.6407,156.0041,0.0077,0.0253,0.0373,0.0982,0.0271,0.0066,0.0171,0.5025,0.7814,0.8923,0.8806,0.8202,0.3977,115.5381,111.2536,73.9422,89.2885,49.5808,0,25.0841,102.5204,25.7113,2.3598,0.549,0.255,1.45,25,17,10,NA,NA,NA
CPSBB_TOM163,44.0075,137.8133,14.0547,14.0547,11.5993,11.8957,13.4483,0.8445,0.8237,0.9588,0.6883,0.6746,1.0202,0.0277,0.062,0.5513,0.0191,155.2959,84.4223,0.032,86.1623,169.4972,0.0116,0.0385,0.0685,0.0556,0.0174,0.0055,0.0042,0.4972,0.7777,0.8912,0.8818,0.8232,0.4137,108.7494,109.9045,69.4687,85.1141,48.4272,0,26.2383,108.3556,27.6548,3.5644,0.548,0.2536,0.94,14,16,11.6,NA,NA,NA
CPSBB_TOM166,65.7268,305.0227,20.7433,20.8915,16.9545,17.653,18.7945,0.8455,0.8177,0.9095,0.7426,0.6503,1.1449,0.0277,0.0573,0.5484,0.0289,207.3918,180.913,0.042,172.8095,160.1174,0,0,0,0.1553,0.0175,0,0.0373,0.4561,0.7661,0.8924,0.8847,0.8183,0.4237,96.3275,95.9692,68.5361,78.7385,42.6603,0,18.1516,107.0273,19.013,1.6033,0.5521,0.2541,3.83,97,25,9,NA,NA,NA
CPSBB_TOM167,45.8238,151.5104,13.8218,13.8642,13.6948,13.7795,15.3903,0.9972,0.9939,1.1109,0.6277,0.5853,1.0753,0.0175,0.0252,0.4962,0.0155,97.5769,158.986,0.0209,157.2836,149.5413,0,0,0.0394,0.0818,0.0182,0.0072,0.013,0.4982,0.7912,0.892,0.8811,0.9917,0.3812,114.3423,54.3256,36.3337,70.9048,32.4753,27.4279,26.7353,44.3346,38.3302,0.9827,0.5468,0.2589,1.2,110,91,11.1,NA,NA,NA
CPSBB_TOM168,67.4937,304.2109,19.05,19.0923,19.4733,20.0025,21.9203,1.0484,1.0228,1.1559,0.6651,0.5944,1.1195,0.0143,0.0257,0.5039,0.0141,100.4841,155.7574,0.0151,165.117,141.283,8e-04,0.0034,0,0.1188,0.0203,0,0.0349,0.4851,0.7698,0.8944,0.8723,1.0241,0.4056,114.5781,67.1677,41.7222,73.5526,35.8188,19.6228,27.4541,54.473,33.8243,0.9541,0.5519,0.2553,4.31,312,72,8.7,NA,NA,NA
CPSBB_TOM169,65.5172,294.6284,20.5105,20.5952,17.1238,17.8858,19.5046,0.8699,0.836,0.9566,0.7262,0.6311,1.1536,0.0291,0.0591,0.5393,0.0303,213.503,184.2417,0.0584,164.3711,153.7687,0,0,0.0271,0.1178,0.0321,0.0039,0.0351,0.4537,0.7649,0.8934,0.8843,0.835,0.4056,112.5238,113.3188,76.6661,90.3122,49.9529,0,23.9047,108.6028,25.2219,1.7153,0.5639,0.2551,2.96,252,85,11.7,NA,NA,NA
CPSBB_TOM170,47.0291,157.5122,13.9277,13.97,13.97,14.0123,15.8844,1.0033,1.0033,1.149,0.6667,0.6168,1.0814,0.0172,0.0188,0.518,0.0023,128.8993,162.0569,0.0085,164.9415,150.0485,0,0.0027,0.0554,0.068,0.0157,0.0071,0.0053,0.4786,0.7963,0.8912,0.885,1.0038,0.387,117.7933,56.4872,42.3849,75.3783,33.7347,28.1422,24.2163,40.7208,37.1526,0.904,0.5485,0.2575,1.67,245,145,10.5,NA,NA,NA
CPSBB_TOM171,47.0603,157.2058,15.3035,15.3035,12.1708,12.4672,14.0711,0.8149,0.7955,0.9251,0.7122,0.6585,1.0838,0.0272,0.0668,0.5549,0.0077,185.1022,178.4268,0.0107,174.6464,166.6176,0.004,0.0204,0.0222,0.0883,0.0118,0.0015,0.0071,0.4755,0.7795,0.8924,0.8838,0.7918,0.4122,126.1016,66.0596,47.0469,81.4809,37.557,26.2593,26.7922,45.5708,37.5194,1.3352,0.5819,0.2377,1.07,73,68,9.3,NA,NA,NA
CPSBB_TOM172,47.03,155.7721,14.8167,14.8378,12.4248,12.9117,14.4179,0.8717,0.8403,0.9761,0.6698,0.6777,0.9888,0.0245,0.0506,0.5355,0.0381,208.8847,4.8819,0.0638,131.6891,163.7084,0.0012,0.015,0.1289,0,0.0136,0.0145,0,0.519,0.7687,0.8926,0.8858,0.8398,0.4135,98.777,103.5255,61.9296,78.0383,45.3125,0,26.5943,111.5935,28.6022,1.8921,0.5588,0.2498,1.57,23,15,NA,NA,NA,NA
CPSBB_TOM175,58.678,244.1716,18.2033,18.2668,15.4305,16.256,17.9937,0.8922,0.85,0.9946,0.7243,0.5971,1.2144,0.0247,0.0441,0.5308,0.0423,224.5959,142.0863,0.0564,165.9039,154.1033,0.0035,0.0058,0,0.1473,0.0122,0,0.0354,0.472,0.7595,0.8891,0.8856,0.8504,0.4172,103.246,108.427,73.0835,86.0282,47.4759,0,22.4544,113.589,24.5195,1.6296,0.5688,0.249,3.07,115,29,7.8,NA,NA,NA
CPSBB_TOM176,64.8732,298.5765,20.7645,20.9127,16.8063,17.2508,19.5611,0.8254,0.8104,0.9524,0.7369,0.6445,1.1438,0.0284,0.065,0.5537,0.0121,147.5274,49.245,0.0284,169.886,161.4709,0.0039,0.0522,0,0.1416,0.0221,0,0.0295,0.4619,0.7747,0.8908,0.8818,0.804,0.4179,98.1801,101.1465,67.536,80.1819,44.498,0,21.6814,111.0172,23.2347,1.812,0.574,0.2386,2.97,185,65,10.3,NA,NA,NA
CPSBB_TOM177,51.0565,186.3168,15.494,15.494,14.3933,14.732,16.1838,0.9506,0.9287,1.0423,0.6837,0.6297,1.0865,0.02,0.0279,0.5351,0.0222,195.8583,170.4328,0.0203,169.256,153.2458,0,0,0.0381,0.0555,0.0146,0.0106,0.0075,0.465,0.7797,0.891,0.8849,0.9275,0.4063,120.489,54.2023,41.1555,76.0673,33.6704,30.6488,25.1666,39.3944,39.6596,0.8501,0.5593,0.2482,1.81,234,129,10.2,NA,NA,NA
CPSBB_TOM178,56.1977,218.4691,18.2457,18.3303,13.716,14.6262,17.4519,0.7983,0.7523,0.9628,0.7493,0.6007,1.2504,0.0354,0.083,0.5367,0.021,207.2518,194.8116,0.0322,128.2743,160.3443,0.0023,0.0069,0,0.1568,0.0303,0,0.0406,0.4548,0.7481,0.8908,0.8846,0.7519,0.4295,93.8409,95.3903,64.6681,76.0291,42.1806,0,20.0212,109.3858,21.2437,3.1851,0.5507,0.2543,1.96,99,50,8.5,NA,NA,NA
CPSBB_TOM179,51.6929,184.2075,15.494,15.5363,14.7743,14.8802,17.2003,0.9602,0.9561,1.1156,0.6706,0.59,1.1376,0.0138,0.0227,0.5077,0.005,171.5037,159.3754,0.005,162.7143,146.0346,0.0014,0.0038,0,0.1084,0.0131,0,0.0169,0.4948,0.7872,0.8914,0.8775,0.961,0.3952,115.4138,57.9735,41.0005,73.6046,33.6584,25.951,25.0391,43.9568,36.1539,1.2702,0.5561,0.2527,1.94,180,93,10.5,NA,NA,NA
CPSBB_TOM180,57.2052,231.2307,17.8858,17.9917,14.8802,15.5787,17.3906,0.876,0.8432,0.9858,0.717,0.6393,1.126,0.0276,0.0527,0.5402,0.034,212.8901,132.6685,0.047,82.921,158.1898,2e-04,0.0044,0.0414,0.1084,0.0205,0.0061,0.026,0.4804,0.763,0.8916,0.8858,0.8402,0.4197,108.5756,110.6069,77.702,89.3733,48.7657,0,21.3071,110.2447,22.7674,1.7477,0.5427,0.2607,3.5,202,58,8.5,NA,NA,NA
CPSBB_TOM181,48.0683,164.5893,14.5415,14.605,13.8218,14.1182,16.0695,0.9668,0.9507,1.1082,0.6649,0.5971,1.1156,0.0155,0.0195,0.5101,0.0156,192.2392,164.3609,0.0193,169.9334,152.192,0.0016,0.0076,0.0266,0.0737,0.0132,0.0024,0.015,0.5021,0.7814,0.8915,0.8839,0.9523,0.3968,120.7452,51.3868,39.2593,75.2926,33.0279,32.3026,25.6578,38.4731,41.2603,1.1679,0.5491,0.2553,1.18,86,73,16.7,NA,NA,NA
CPSBB_TOM182,47.8724,163.9979,14.2028,14.2663,13.8853,14.1605,15.5509,0.9956,0.9815,1.0666,0.7296,0.5962,1.2364,0.0227,0.0263,0.5341,0.0177,149.7472,129.7751,0.0187,170.2816,147.6113,0.0029,0.0062,0,0.1515,0.014,0,0.028,0.4529,0.7822,0.8904,0.8843,0.9849,0.407,126.6761,56.7629,41.172,78.9836,35.4058,31.7143,27.8982,41.3568,42.2536,1.7248,0.5559,0.2514,1.19,89,75,12.1,NA,NA,NA
CPSBB_TOM183,27.3082,51.6056,8.6148,8.7207,7.3237,7.5988,10.7278,0.8714,0.8506,1.2631,0.6765,0.5586,1.2263,0.028,0.0494,0.5089,0.0169,239.0874,86.7162,0.0275,170.8958,153.8415,0.0043,0.0337,0.0196,0.1187,0.0146,0.0019,0.0136,0.449,0.7662,0.8946,0.8773,0.8452,0.4017,117.8665,113.4674,65.9021,87.112,50.4334,0,31.7684,102.7299,32.6267,3.0089,0.5328,0.2621,7.73,77,10,NA,NA,NA,NA
CPSBB_TOM184,55.9933,222.9189,17.4837,17.5472,15.2612,15.5787,17.3578,0.891,0.8769,1.0054,0.7,0.6172,1.1362,0.0237,0.0438,0.5236,0.0179,103.7346,81.4208,0.0239,129.1555,158.8064,0.0012,0.0048,0.0296,0.1163,0.0213,0.0066,0.0235,0.4638,0.7766,0.8903,0.8794,0.8675,0.4048,99.5896,103.2845,68.0067,81.2853,45.3346,0,22.7107,111.236,24.4515,2.3967,0.5513,0.2555,2.47,146,59,10.9,NA,NA,NA
CPSBB_TOM185,60.4757,254.978,19.05,19.1558,15.8962,16.5735,18.8586,0.8704,0.8392,0.9995,0.6586,0.6105,1.079,0.0272,0.0564,0.5173,0.0208,202.6851,131.8632,0.0323,127.0793,157.1926,5e-04,0.0018,0.0277,0.098,0.034,0.0158,0.0237,0.4794,0.7628,0.8892,0.8814,0.8346,0.4097,105.4419,102.2414,75.4004,85.7106,45.7246,0,18.166,102.1038,18.7289,2.1991,0.5516,0.2536,2.7,127,47,10.2,NA,NA,NA
CPSBB_TOM186,58.728,246.8526,18.2245,18.3515,16.0232,16.4253,19.103,0.8963,0.8804,1.0456,0.7036,0.6283,1.1264,0.0199,0.0385,0.5329,0.0136,195.8496,168.8718,0.0151,45.349,157.7149,0.0043,0.0095,0.0613,0.0764,0.0136,0.0043,0.0155,0.4859,0.7826,0.8921,0.8881,0.884,0.4059,105.2082,105.9092,74.5209,85.8685,46.8335,0,20.5062,108.6475,21.6686,1.9421,0.5521,0.2537,2.64,384,146,9,NA,NA,NA
CPSBB_TOM188,68.697,336.9886,20.5105,20.5952,19.7697,20.066,21.7019,0.9747,0.9646,1.0656,0.6903,0.6503,1.0699,0.0227,0.0281,0.5281,0.0052,92.7212,162.3861,0.0045,168.1027,159.3904,0,0,0.0573,0.0817,0.0369,0.0159,0.0241,0.4724,0.7861,0.8907,0.8843,0.9617,0.4,102.3708,82.7112,47.0584,70.3196,38.7123,3.3761,27.4432,82.9773,27.6529,1.0718,0.5516,0.2523,3.88,475,122,NA,NA,NA,NA
CPSBB_TOM189,135.71,1291.6533,39.8216,39.9062,38.2411,39.37,40.1398,0.993,0.9661,1.0174,0.7351,0.6441,1.1425,0.0248,0.0328,0.5396,0.0248,206.5944,184.4128,0.0532,164.8544,154.1603,0,0,0,0.1361,0.0388,0,0.0694,0.4698,0.7773,0.8905,0.8876,0.9667,0.4094,130.3278,59.2616,47.9064,83.8723,36.6593,32.4724,24.9224,37.4218,40.9525,1.6068,0.5812,0.2367,52.82,667,13,9.5,NA,NA,NA
CPSBB_TOM191,5.1892,28.2361,1.5779,1.6783,1.3964,1.3826,1.5884,0.0975,0.107,0.0828,0.0673,0.0724,0.0822,0.0075,0.0172,0.0286,0.0136,30.5064,13.1143,0.0764,5.0548,10.3261,0.0056,0.0109,0.059,0.0769,0.0136,0.0099,0.0181,0.0463,0.0143,0.0045,0.0021,0.1117,0.022,5.6717,4.018,2.531,3.3344,1.8781,0,1.5982,2.2816,1.3447,1.7473,0.5484,0.2543,NA,19,13,10.3,NA,NA,NA
CPSBB_TOM192,50.9748,182.2416,15.7692,15.7692,13.6525,14.1817,15.7347,0.8999,0.8663,1.0188,0.6804,0.6574,1.035,0.0238,0.0426,0.5307,0.032,212.9085,45.8001,0.0421,175.6176,160.8599,0.0039,0.0144,0.0761,0.0307,0.0162,0.0118,0.0057,0.486,0.7652,0.8915,0.8806,0.8618,0.4171,127.5665,59.1278,45.0889,81.2464,36.2219,30.964,26.3343,40.5463,40.7161,1.2483,0.5524,0.2531,1.79,120,67,10.8,NA,NA,NA
CPSBB_TOM193,55.41,215.1949,17.399,17.526,14.6685,15.0918,16.7094,0.8606,0.8421,0.9706,0.6937,0.6557,1.0591,0.0232,0.0534,0.538,0.0236,198.5078,128.6749,0.0535,171.1935,161.6379,8e-04,0.0015,0.0232,0.0826,0.0176,0.0074,0.0113,0.4779,0.7722,0.8909,0.8822,0.842,0.4148,90.2804,93.952,63.07,74.5984,41.1416,0,19.8511,112.6445,21.5178,2.369,0.6124,0.212,1.83,24,13,11,NA,NA,NA
